index,dataset,expID,base_model,meta_model,preproc_model,results_dir_path,model_time,postproc_time,preproc_time
ACSPublicCoverage_base=skorch-NN_meta=None_preprocessor=None_one-hot=True_seed=43578108_hash=cc41d788_2023.09.14-17.26,ACSPublicCoverage,NN,NN,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSPublicCoverage_base=skorch-NN_meta=None_preprocessor=None_one-hot=True_seed=43578108_hash=cc41d788_2023.09.14-17.26.50,1867.54,4.171,
ACSPublicCoverage_base=skorch-NN_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=651571584_hash=7db99123_2023.09.12-01.03,ACSPublicCoverage,"NN, CR",NN,None,CR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSPublicCoverage_base=skorch-NN_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=651571584_hash=7db99123_2023.09.12-01.03.43,9305.136,6.141,1.307
ACSPublicCoverage_base=fairgbm_equal-odds-constraint_meta=None_preprocessor=None_one-hot=False_seed=620570965_hash=f6f92d2b_2023.09.11-20.09,ACSPublicCoverage,FairGBM,GBM,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSPublicCoverage_base=fairgbm_equal-odds-constraint_meta=None_preprocessor=None_one-hot=False_seed=620570965_hash=f6f92d2b_2023.09.11-20.09.54,13.659,2.403,
ACSPublicCoverage_base=skorch-NN_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=264925443_hash=4ddb7458_2023.09.14-21.57,ACSPublicCoverage,"NN, LFR",NN,None,LFR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSPublicCoverage_base=skorch-NN_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=264925443_hash=4ddb7458_2023.09.14-21.57.48,640.724,2.497,287.407
ACSPublicCoverage_base=skorch-NN_meta=None_preprocessor=None_one-hot=True_seed=43578116_hash=cc41d788_2023.09.14-17.26,ACSPublicCoverage,NN,NN,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSPublicCoverage_base=skorch-NN_meta=None_preprocessor=None_one-hot=True_seed=43578116_hash=cc41d788_2023.09.14-17.26.50,128520.806,78.493,
ACSPublicCoverage_base=lightgbm_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=False_seed=681445878_hash=533bcb3c_2023.09.14-17.27,ACSPublicCoverage,"GBM, EG",GBM,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSPublicCoverage_base=lightgbm_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=False_seed=681445878_hash=533bcb3c_2023.09.14-17.27.46,1104.43,0.62,
ACSPublicCoverage_base=random-forest_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=272096469_hash=7a946c00_2023.09.14-20.37,ACSPublicCoverage,"RF, LFR",RF,None,LFR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSPublicCoverage_base=random-forest_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=272096469_hash=7a946c00_2023.09.14-20.37.21,13671.384,45.022,519.157
ACSPublicCoverage_base=skorch-NN_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=475483302_hash=4ddb7458_2023.09.13-00.36,ACSPublicCoverage,"NN, LFR",NN,None,LFR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSPublicCoverage_base=skorch-NN_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=475483302_hash=4ddb7458_2023.09.13-00.36.15,6002.566,6.124,385.174
ACSPublicCoverage_base=lightgbm_meta=None_preprocessor=None_one-hot=False_seed=923625881_hash=4c2503ab_2023.09.12-11.12,ACSPublicCoverage,GBM,GBM,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSPublicCoverage_base=lightgbm_meta=None_preprocessor=None_one-hot=False_seed=923625881_hash=4c2503ab_2023.09.12-11.12.26,59.545,21.866,
ACSPublicCoverage_base=logistic-regression_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=467990912_hash=fc2d2573_2023.09.11-16.26,ACSPublicCoverage,"LR, EG",LR,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSPublicCoverage_base=logistic-regression_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=467990912_hash=fc2d2573_2023.09.11-16.26.17,2828.57,0.383,
